quarter,0,16,17,18,31,37,39,40,45,58,61,67,70,74,97,106,118,121,124,131,137,139,144,150,165,168,170,171,177,180,191,194,197,206,208,214,220,221,229,230,231,233,244,248
1990,,0.3473,0.247133333,0.26075,,,0.2344,0.2496,0.3626,0.7995,0.5985,0.6563,0.6195,,,,,,0.328,,,0.562166667,,0.412133333,,,0.348,,0.567744444,,0.43702,,0.517872727,0.2684,0.4842,,0.24615,0.2963,,,,,0.397966667,0.3637
1991,,0.2991,0.45916,0.2979,,,0.4541,0.2682,0.2092,0.339175,,,,,0.348475,,0.36125,,0.441733333,0.4495,,0.47665,,0.4911,,,,,0.465166667,,0.434261538,,0.468033333,,0.310425,,0.409492308,0.3129,,,,,0.37945,
1992,,0.2994,0.4879,,,0.2382,0.4626,0.3313,0.3711,0.426066667,0.563375,0.4853,,,,,0.39632,0.308,0.3505,,,0.2933,,0.4962,,,0.2631,,0.491830769,,0.48290625,,0.444754545,0.3428,0.387266667,,0.331575,0.3345,0.5758,,,,0.449157143,0.2885
1993,,,0.469575,0.4317,0.293475,0.5047,,,,0.477246154,,0.6733,,,0.49125,0.3081,0.49798125,,,0.534266667,,0.4789875,,0.36105,,0.2821,,0.3583,0.422254545,,0.471830769,,0.431127778,,0.66315,,0.333033333,0.34595,0.476125,0.3095,,0.3089,0.39135,
1994,,0.352933333,0.4668,0.372625,0.3354,0.33195,,,,0.29395,0.37425,,0.5028,,0.4741,0.2155,0.3088375,0.3287,0.2184,0.4082,,0.440116667,0.2091,0.574533333,,,0.39745,0.2102,0.458344444,,0.457516667,,0.45404375,0.2696,0.3599,,0.2691,,,,,,0.420871429,0.2689
1995,,,0.335171429,0.3218,,0.33475,0.297,,,0.50425,0.375566667,0.28445,0.4021,,0.25925,,0.436085714,0.2791,0.292433333,0.2597,0.276,0.508125,,0.34185,,,,,0.450511765,0.27045,0.434146154,,0.445057143,,,0.254,0.39701,0.31995,,0.2236,,,0.360128571,0.237
1996,,0.2354,0.5425,,,0.2158,,,,0.437775,0.5087,,0.3085,0.219,,0.2925,0.272666667,,0.41635,0.3720625,0.492625,0.3375,0.308633333,0.38734,,0.2102,,,0.393233333,,0.505991667,0.459744444,0.50405,,0.6153,,0.390866667,0.2538,0.46115,,,,0.325033333,
1997,,0.33435,0.338525,0.2768,0.363,0.4337,0.3215,0.4705,,0.496630769,,0.309,0.5361,,0.464366667,,0.51294,,,0.344766667,,0.4422,,0.394636364,,,,,0.4706625,,0.4814,,0.478217647,,,0.2775,0.37842,0.367175,0.448909091,,,,0.375825,
1998,,,0.39545,0.564,,0.423,,,,0.528790909,,0.2344,0.293,,,,0.268933333,0.5689,,0.416966667,0.352371429,0.5338,0.2386,0.3656875,,,,0.5625,0.414642857,,0.46345625,,0.487721053,,0.5008,,0.42718,0.205,,,,,,0.3783
1999,0.5633,0.2914,0.3425,,,0.502533333,0.5013,,,0.474272727,,,0.3572,,,,0.595428571,0.3916,,0.4054,0.2385,0.4424,,0.413583333,,,,0.28065,0.446816667,,0.4835525,0.304233333,0.53499697,,,,0.405425,0.3699,0.7127,,,0.6485,0.216833333,0.3564
2000,,,0.53455,,0.48585,,,,,0.546333333,,,0.3789,,0.489375,0.3162,0.4872,0.2128,,0.3969,0.33828,0.5432,,,,0.4914,,,0.4241,,0.5071975,0.4208,0.508582609,,,0.5177,0.44768,0.354225,0.46345,,,,0.419925,0.2012
2001,,,0.479,,0.2639,,0.2103,0.35795,0.2854,0.542846154,0.649,,0.319333333,,,0.3228,0.3806,,,0.314583333,0.3859,0.479325,,0.3731,,,,,0.3298,,0.472063889,0.5533,0.523627451,,,,0.39723,,,,,,,
2002,,,0.40335,,,0.2496,,0.311625,0.5248,0.443213333,0.5449,,,,0.2079,,0.3812,,,0.4336,0.32218,0.336033333,0.268,0.416666667,,0.2242,,0.447,0.461727273,,0.484789744,0.633742857,0.453803571,,,0.2486,0.470975,0.466933333,0.367533333,0.4597,,0.6929,,0.4027
2003,,0.44485,0.845125,,0.30374,0.2103,0.585,0.2658,0.31345,0.412635714,,,0.371625,,,,0.2705,0.2025,0.3827,0.997691667,0.24015,0.35925,0.23725,0.4267625,,0.418175,,,0.419275,0.2958,0.4864,0.316966667,0.410704545,,0.3326,,0.416088889,0.378066667,0.604475,,,,0.3627,
2004,,0.2208,0.67085,0.3056,0.4495,0.3566,0.31635,0.341533333,,0.488854545,,0.2696,0.3249,,0.2878,0.657,0.839966667,0.3015,,0.3764,0.3157,0.3461,0.4325,0.36945,,,0.2445,,,0.4552,0.435467241,,0.402615152,,0.2698,,0.916978571,,0.3777,,,,0.2383,
2005,,0.3921,0.41385,0.5584,0.285,,,0.2426,0.2641,0.535494444,,0.3484,0.277,,0.2151,0.927,0.813241667,,0.2429,0.667963636,0.20605,0.2264,0.6524,0.273625,,0.4564,0.322,,,,0.811014815,0.284675,0.74215,,,0.2086,0.904771429,0.2545,0.921,0.2181,,0.3591,0.2912,
2006,,0.3745,0.320855556,0.3016,0.3092,0.45045,,0.2123,0.404166667,0.524461538,0.362866667,0.2347,0.3207,0.2583,0.3119,0.4647,0.5398,0.264,0.2302,0.511366667,0.3653,0.90055,0.7436,0.371433333,,0.2954,,,0.4046,,0.472456522,0.2439,0.804143478,,,,0.893282864,,,,,0.2312,,0.309
2007,,,0.436577778,0.5706,0.495,0.2593,0.30995,,0.349533333,0.508047826,0.2221,,0.2683,0.2077,0.24635,,0.7088,,,0.668366667,0.2851,0.2421,,0.3387,,0.4859,,0.3657,0.7474,,0.480893023,,0.411080952,,,,0.913833333,0.249575,0.387,0.3158,,,,
2008,,0.33695,0.324985714,,0.593575,0.419,0.2581,,0.2921,0.452273333,,,,,0.315125,0.8270125,0.646275,,0.4256,0.65,0.3215,0.5897,0.6546,0.3002,,0.2568,,,0.25675,0.2528,0.46596,0.5275,0.865738889,0.4484,,,0.851314286,0.2946,0.454025,0.796075,,0.2102,0.2685,
2009,,0.5611,0.814966667,0.2757,0.80085,0.7665,,0.2518,0.41834,0.868381818,0.2716,0.25295,,,0.328933333,0.72105,0.94905,0.37645,0.22475,0.546922222,0.241,0.70455,0.2708,0.31904,,0.2717,,,0.2866,0.2907,0.674543243,0.2794,0.754054545,0.220275,,,0.926257576,0.37276,0.7452,0.81254,,,0.3133,0.2621
2010,,0.4465,0.39881875,0.471666667,0.912816667,,0.4669,,0.36818,0.398417647,0.2081,0.3619,0.3566,,0.4108,0.557016667,0.27995,0.309933333,0.391,0.855033333,0.258733333,0.45365,0.521,0.2078,,0.67245,,0.438,0.3106,,0.4527,0.442166667,0.691495556,0.3429,,,0.399281818,0.2016,1.1652,0.805466667,,0.5496,0.27715,0.2833
2011,,0.3086,0.3967,,0.401725,0.324,0.2466,0.2821,0.3653,0.423158333,0.2965,,0.6423,0.3536,0.3755,0.59485,0.402666667,0.4863,0.5109,,0.3099,0.670125,,0.278066667,0,0.3799,,0.2555,0.2256,0.4285,0.4272625,0.226,0.390135,,0.26025,,0.906463333,0.217,0.4679,0.97255,0,,0.2381,0
